Number of Rows (Aggregated),avg_age,age_stddev,CODED_PARTY_AFFILIATION,CITY,Score,General,Primary,Special
1103,44.947416138,17.233765609,0.071622847,CUYAHOGA FALLS,0.103684988,0.203943091,0.035587035,0.005548442
170,49.888235294,19.122599856,0.041176471,OREGON,0.155670791,0.318745568,0.050199604,0.023255814
19,44.526315789,14.400495443,-0.526315789,FARMERSVILLE,0.296560731,0.498045113,0.175250627,0.057692308
16,46.25,17.755750242,-0.1875,MINERAL CITY,0.146958585,0.293583188,0.054464286,0.022727273
9,56.444444444,11.501207666,0,WAITE HILL,0.171875,0.373333333,0.041269841,0.055555556
19,55.421052632,16.644371052,0.157894737,MARTIN,0.281085526,0.512280702,0.143130554,0.029411765
26,54.269230769,17.110365729,-0.269230769,HUNTSBURG,0.235813492,0.414444444,0.122629223,0.107142857
482,47.448132780,19.249494597,0.182572614,EUCLID,0.156872039,0.291749650,0.061765373,0.001453488
9,37.888888889,9.479510067,0.111111111,HAMDEN,0.129546370,0.276809117,0.035714286,0
1318,45.762518968,17.607090025,0.098634294,GAHANNA,0.131417412,0.241343897,0.048819409,0.012208068
3,43,16.522711642,0,WHARTON,0.285714286,0.518228905,0.144339951,0
12,48.833333333,23.233335507,0.25,NORTH RANDALL,0.142408460,0.269735450,0.063311688,0
14631,44.404346935,17.855055294,0.069373249,CINCINNATI,0.133209780,0.256005697,0.043629312,0.013115147
1,81,,1,BOURNEVILLE,0.390625,0.76,0.171428571,0
30,45.7,21.107524398,-0.133333333,RICHWOOD,0.194008642,0.343231963,0.069025228,0
31,53.032258065,16.009338673,0.032258065,OSTRANDER,0.224840497,0.411915989,0.080000000,0.018518519
2357,46.880780653,16.349243106,0.028001697,POWELL,0.137389123,0.265136805,0.040070015,0.009630819
9,49.444444444,16.986105433,-0.222222222,SOUTH WEBSTER,0.121954776,0.264011639,0.034920635,0
557,44.412926391,16.601498748,-0.034111311,MIAMISBURG,0.118511135,0.228507103,0.035996872,0.014705882
728,47.501373626,19.398591769,0.039835165,STOW,0.144816393,0.279947441,0.046139891,0.025678295
16,50.5,13.505554413,-0.3125,KITTS HILL,0.169921875,0.33375,0.066071429,0
