Zip Code,Population
45859,483
45741 and 44844,481
45782,474
44045,464
43939,461
45854,458
43565,457
45650,454
45734,447
43934,444
43983,442
43735,440
45826,438
45389 and 45716,425
45349,423
43029,420
43468,402
43456,399
45360,392
45158,391
43961 and 43458,385
43151,382
45698,372
45164,365
45132,362
45319 and 43144,361
44874,360
45307,359
45740 and 43842,357
45155 and 44678,356
43158 and 45428,346
45372 and 45808,345
45727,342
45378 and 43722,341
45816,338
43927 and 43322,336
45111,335
43036 and 43101,329
43531,326
45819,321
43940,318
45032,310
43547,307
43529,306
45361,305
45358,303
43127 and 43321,302
"43931, 45131, and 43033",300
43408,294
44687,293
43111,291
43914,277
45870,276
43037,271
"45746, 43519, and 44809",269
45310,266
45621,265
45888,262
45351,255
43553 and 43077,243
43010 and 45352,242
44049,240
44640,238
43438,236
"44838, 45147, and 45789",235
44856,234
45861,233
43740,229
45671,228
44671,218
43926,212
43905,209
43738,200
45617,189
45070,188
43117,187
44697,183
45033,182
43317,180
"43005, 43070, and 43156",177
44610,170
45051 and 44670,168
44439,165
45172,164
44690,163
44274,162
44607,161
45864,159
43541,157
45336,156
43717,155
43925,149
43555 and 45855,147
45809,146
44661,144
44080,143
44659,136
43902 and 45353,134
43928,129
45636,126
45899,125
43721,116
"45866, 44825, and 43467",111
43711,110
44828,109
43142 and 43030,108
44861 and 43836,106
45301,99
43330,96
43962,92
43750,90
45773,89
43505,88
45316 and 45350,85
45622,84
45166,82
"45630, 43985, and 43974",78
43805 and 43109,77
43446 and 43536,73
43433,72
45884,71
"45112, 45115, and 43463",68
"43972, 43434, and 45156",59
44493 and 45721,56
45787 and 43439,55
43736,54
44850,52
43761,50
45838,49
43759,47
43951,44
44693,38
44285,35
"43970, 43786, and 44881",25
44816,24
45145,21
43523 and 43032,19
43733,17
45618,12
